borough,boro,block,lot,bbl,hnum_lo,hnum_hi,str_name,crfn,grantee,deed_date,price,cap_rate,borough_cap_rate,yearqtr,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,NTA,Location1
MN,1,2122,48,1021220048,3880,3880,BROADWAY,2020000000000,3880 BROADWAY ASSOCIATES LLC,04/17/2019,19700000,0.02385,0.0351,2019Q2,10032,40.837269,-73.942521,12,7,245,1062922,Washington Heights South,"(40.837269, -73.942521)"
BX,2,3923,39,2039230039,1875,1875,ARCHER STREET,2020000000000,M & S ARCHER REALTY LLC,03/26/2021,5600000,0.03365,0.04804,2021Q1,10460,40.837845,-73.863853,9,18,21601,2028682,West Farms-Bronx River,"(40.837845, -73.863853)"
BK,3,5637,32,3056370032,864,864,49 STREET,2020000000000,864 49TH LLC,11/29/2018,17991000,0.0248,0.03398,2018Q4,11220,40.640863,-74.001794,12,38,108,3137539,Sunset Park East,"(40.640863, -74.001794)"
BX,2,2820,9,2028200009,1534,1534,SELWYN AVENUE,2020000000000,QC SELWYN LLC,10/04/2018,15250000,0.02672,0.03443,2018Q4,10457,40.841242,-73.910388,4,16,225,2007823,East Concourse-Concourse Village,"(40.841242, -73.910388)"
BK,3,5851,40,3058510040,484,484,67 STREET,2020000000000,67TH STREET REALTY PROPERTY LLC,06/09/2020,5485000,0.05244,0.056205,2020Q2,11220,40.635734,-74.020451,10,43,126,3144511,Bay Ridge,"(40.635734, -74.020451)"
BK,3,1815,53,3018150053,385,387,MONROE STREET,2020000000000,385 MONROE STREET LLC,08/26/2020,2700000,0.03721,0.06425,2020Q3,11221,40.686409,-73.942464,3,36,265,3051234,Bedford,"(40.686409, -73.942464)"
MN,1,276,34,1002760034,110,110,MADISON STREET,2020000000000,110 MADISON STREET CC LLC,12/18/2018,8500000,0.01852,0.03253,2018Q4,10002,40.71223,-73.995138,3,1,8,1003311,Chinatown,"(40.71223, -73.995138)"
MN,1,2006,42,1020060042,112,118,WEST 138 STREET,2020000000000,"OAK TREE AVANATH INVINCIBLE COURT, LLC",12/14/2018,19250000,0.0226,0.03253,2018Q4,10030,40.816402,-73.940371,10,9,228,1060010,Central Harlem North-Polo Grounds,"(40.816402, -73.940371)"
MN,1,2177,218,1021770218,1314,1322,RIVERSIDE DRIVE,2020000000000,1312-1322 RIVERSIDE DRIVE LLC,03/11/2020,10150000,0.05291,0.05603,2020Q1,10033,40.850485,-73.942806,12,10,265,1064325,Washington Heights South,"(40.850485, -73.942806)"
MN,1,2139,517,1021390517,4,4,SOUTH PINEHURST AVE,2020000000000,4-S PINEHURST AVENUE LLC,06/19/2018,19550000,0.03091,0.03345,2018Q2,10033,40.84775,-73.940557,12,10,255,1063448,Washington Heights South,"(40.84775, -73.940557)"
BX,2,3072,11,2030720011,612,612,CRESCENT AVENUE,2020000000000,612 CRESCENT REALTY LLC,02/12/2021,3500000,0.04635,0.04804,2021Q1,10458,40.853593,-73.888256,6,15,391,2012107,Belmont,"(40.853593, -73.888256)"
MN,1,551,16,1005510016,27,28,WASHINGTON SQUARE N,2020000000000,NEW YORK UNIVERSITY,06/21/2018,45000000,0.01841,0.03345,2018Q2,10011,40.732102,-73.998362,2,1,63,1008855,West Village,"(40.732102, -73.998362)"
BK,3,6759,26,3067590026,1550,1550,EAST 13 STREET,2020000000000,M&M MIDWOOD LLC,06/23/2021,10200000,0.05468,0.062835,2021Q2,11230,40.611495,-73.960695,14,48,542,3181717,Midwood,"(40.611495, -73.960695)"
MN,1,1236,33,1012360033,588,588,AMSTERDAM AVENUE,2020000000000,GPG 588 LLC,08/14/2018,7200000,0.03123,0.03329,2018Q3,10024,40.789269,-73.973869,7,6,175,1033296,Upper West Side,"(40.789269, -73.973869)"
BK,3,5081,1,3050810001,441,441,CATON AVENUE,2020000000000,M & M OCEAN REALTY LLC,06/28/2019,21417000,0.02717,0.03325,2019Q2,11218,40.647679,-73.976861,7,39,500,,Windsor Terrace,"(40.647679, -73.976861)"
QN,4,10476,7,4104760007,202-05,202-05,JAMAICA AVENUE,2020000000000,BR JAMAICA PARTNERS LLC,06/26/2018,9041666,0.01866,0.03129,2018Q2,11423,40.713505,-73.757002,12,23,484,4222698,Hollis,"(40.713505, -73.757002)"
BK,3,798,17,3007980017,330,330,51 STREET,2020000000000,BHAWAN 330 REALTY LLC,03/26/2019,3200000,0.02444,0.03386,2019Q1,11220,40.646624,-74.014357,7,38,78,3013493,Sunset Park West,"(40.646624, -74.014357)"
QN,4,5385,3,4053850003,42-45,42-45,155 STREET,2020000000000,FULLER STREET REALTY LLC,03/17/2021,3175000,0.03158,0.04961,2021Q1,11355,40.760593,-73.810539,7,20,1187,4121510,East Flushing,"(40.760593, -73.810539)"
QN,4,674,18,4006740018,41-16,41-16,34 AVENUE,2020000000000,149 GREEN STREET LLC,02/11/2020,3310000,0.02725,0.04586,2020Q1,11101,40.756195,-73.919855,1,26,159,4010928,Astoria,"(40.756195, -73.919855)"
MN,1,373,19,1003730019,332,334,EAST 4 STREET,2020000000000,FRONTIER FOURTH DEVELOPMENT LP,01/09/2019,14000000,0.02202,0.03299,2019Q1,10009,40.721747,-73.978921,3,2,2601,1004387,Lower East Side,"(40.721747, -73.978921)"
MN,1,353,60,1003530060,137,137,RIVINGTON STREET,2020000000000,137 RIVINGTON STREET LLC,05/29/2019,9250000,0.01335,0.0351,2019Q2,10002,40.71947,-73.986374,3,1,1402,1004304,Lower East Side,"(40.71947, -73.986374)"
BK,3,5251,52,3052510052,650,650,EAST 29 STREET,2020000000000,MOON 650 E29 LLC,06/15/2021,2300000,0.05584,0.062835,2021Q2,11210,40.635052,-73.948889,14,45,786,3121696,Flatbush,"(40.635052, -73.948889)"
