issued_year,avg_vios_elig,avg_vios_qt,avg_vios_swl
2016,2.057335581787521,2,1.9428571428571428
2017,1.7975774994867584,1.7633587786259541,1.625
2018,1.6825203252032521,1.6308724832214765,1.552
2019,1.8485995457986375,1.7395833333333333,1.7209302325581395
2020,1.8125640150221918,1.8011695906432748,1.844155844155844
