issued_year,avg_wwp_elig,avg_wwp_qt,avg_wwp_swl
2016,1.33843797856049,1.3137254901960784,1.3333333333333333
2017,1.251908396946565,1.2156862745098038,1.1785714285714286
2018,1.2473444613050075,1.3725490196078431,1.2857142857142858
2019,1.2747603833865815,1.3846153846153846,1.1842105263157894
2020,1.2421052631578948,1.4848484848484849,1.2222222222222223
