bbl,isn_dob_bis_extract,dob_violation_number,ecb_violation_status,issue_date,violation_type,elig_flag,qual_flag,swl_flag
1019450001,NA,NA,NA,NA,NA,T,F,F
1019460029,NA,NA,NA,NA,NA,T,F,F
1019470043,NA,NA,NA,NA,NA,T,F,F
1019480022,NA,NA,NA,NA,NA,T,F,F
1019480029,NA,NA,NA,NA,NA,T,F,F
1019490001,NA,NA,NA,NA,NA,T,F,F
1019490047,1238202,081017C10EH03,RESOLVE,2017-08-10T00:00:00Z,Construction,T,F,F
1019490047,1238194,081017C10EH02,RESOLVE,2017-08-10T00:00:00Z,Construction,T,F,F
1019490061,1121181,032116CSSUIZ01,RESOLVE,2016-03-21T00:00:00Z,Construction,T,F,F
1019490061,1166154,082516PL10DB02,RESOLVE,2016-08-25T00:00:00Z,Construction,T,F,F
1019500041,NA,NA,NA,NA,NA,T,F,F
1019500061,NA,NA,NA,NA,NA,T,F,F
1019520011,1328715,011818C09EH01,RESOLVE,2017-12-02T00:00:00Z,Construction,T,F,F
1019530011,NA,NA,NA,NA,NA,T,F,F
1019530012,NA,NA,NA,NA,NA,T,F,F
1019530033,NA,NA,NA,NA,NA,T,F,F
1019530034,NA,NA,NA,NA,NA,T,F,F
1019540003,NA,NA,NA,NA,NA,T,F,F
1019540005,NA,NA,NA,NA,NA,T,F,F
1019540007,NA,NA,NA,NA,NA,T,F,F
1019540009,NA,NA,NA,NA,NA,T,F,F
1019540011,NA,NA,NA,NA,NA,T,F,F
1019540012,NA,NA,NA,NA,NA,T,F,F
1019540036,NA,NA,NA,NA,NA,T,F,F
1019580001,1459771,,RESOLVE,2019-09-11T00:00:00Z,Construction,T,F,F
1019580015,NA,NA,NA,NA,NA,T,F,F
1019580020,NA,NA,NA,NA,NA,T,F,F
1019580026,NA,NA,NA,NA,NA,T,F,F
1019580028,NA,NA,NA,NA,NA,T,F,F
1019580047,NA,NA,NA,NA,NA,T,F,F
1019580057,NA,NA,NA,NA,NA,T,T,T
1019620018,NA,NA,NA,NA,NA,T,F,F
1019620026,NA,NA,NA,NA,NA,T,F,F
1019620031,NA,NA,NA,NA,NA,T,F,F
1019620038,NA,NA,NA,NA,NA,T,F,F
1019620044,NA,NA,NA,NA,NA,T,F,F
1019620056,NA,NA,NA,NA,NA,T,F,F
1019620061,NA,NA,NA,NA,NA,T,F,F
1019630001,NA,NA,NA,NA,NA,T,F,F
1019630019,NA,NA,NA,NA,NA,T,F,F
1019630056,NA,NA,NA,NA,NA,T,F,F
1019660033,NA,NA,NA,NA,NA,T,F,F
1019660039,NA,NA,NA,NA,NA,T,F,F
1019660042,NA,NA,NA,NA,NA,T,F,F
1019660046,NA,NA,NA,NA,NA,T,F,F
1019660049,NA,NA,NA,NA,NA,T,F,F
1019660052,NA,NA,NA,NA,NA,T,F,F
1019660059,212536,09242019C09DA02,RESOLVE,2019-09-24T00:00:00Z,Construction,T,F,F
1019660059,611480,09242019C09DA01,RESOLVE,2019-09-24T00:00:00Z,Construction,T,F,F
1019670020,NA,NA,NA,NA,NA,T,F,F
1019680029,1541664,120418CMTFRF01,RESOLVE,2018-12-04T00:00:00Z,Construction,T,F,F
1019680031,NA,NA,NA,NA,NA,T,F,F
1019680033,NA,NA,NA,NA,NA,T,F,F
1019680039,NA,NA,NA,NA,NA,T,F,F
1019680044,NA,NA,NA,NA,NA,T,F,F
1019680046,NA,NA,NA,NA,NA,T,F,F
1019680049,1590539,062019CERJG03,ACTIVE,2019-06-20T00:00:00Z,Construction,T,F,F
1019690001,NA,NA,NA,NA,NA,T,F,F
1019690029,1449634,,RESOLVE,2019-11-21T00:00:00Z,Construction,T,F,F
1019690034,NA,NA,NA,NA,NA,T,F,F
1019690040,NA,NA,NA,NA,NA,T,F,F
1019690048,1127329,030818CSSUSK05,RESOLVE,2018-03-08T00:00:00Z,Construction,T,F,F
1019690050,NA,NA,NA,NA,NA,T,F,F
1019690055,NA,NA,NA,NA,NA,T,F,F
1019690081,NA,NA,NA,NA,NA,T,F,F
1019700034,1368184,040116PL09SJ01,RESOLVE,2016-04-01T00:00:00Z,Construction,T,T,T
1019700034,1368185,040116PL09SJ02,RESOLVE,2016-04-01T00:00:00Z,Construction,T,T,T
1019700048,1287248,112616CNER01,RESOLVE,2016-11-26T00:00:00Z,Construction,T,F,F
1019700051,NA,NA,NA,NA,NA,T,F,F
1019700060,NA,NA,NA,NA,NA,T,F,F
1019700065,NA,NA,NA,NA,NA,T,F,F
1019700067,NA,NA,NA,NA,NA,T,F,F
1019700069,NA,NA,NA,NA,NA,T,F,F
1019700160,NA,NA,NA,NA,NA,T,F,F
1019760010,NA,NA,NA,NA,NA,T,F,F
1019760016,NA,NA,NA,NA,NA,T,F,F
1019760029,NA,NA,NA,NA,NA,T,F,F
1019760037,NA,NA,NA,NA,NA,T,F,F
1019760039,NA,NA,NA,NA,NA,T,F,F
1019760048,NA,NA,NA,NA,NA,T,F,F
1019760051,NA,NA,NA,NA,NA,T,F,F
1019760053,NA,NA,NA,NA,NA,T,F,F
1019760055,NA,NA,NA,NA,NA,T,F,F
1019760061,NA,NA,NA,NA,NA,T,F,F
1019770018,NA,NA,NA,NA,NA,T,F,F
1019770046,339192,,ACTIVE,2019-04-15T00:00:00Z,Construction,T,F,F
1019770046,1499989,,ACTIVE,2019-04-15T00:00:00Z,Construction,T,F,F
1019820020,NA,NA,NA,NA,NA,T,F,F
1019820059,NA,NA,NA,NA,NA,T,F,F
1019820067,NA,NA,NA,NA,NA,T,F,F
1019820071,NA,NA,NA,NA,NA,T,F,F
1019820073,NA,NA,NA,NA,NA,T,F,F
1019870031,NA,NA,NA,NA,NA,T,F,F
1019870033,1584377,013119C09KH01,ACTIVE,2018-12-07T00:00:00Z,Construction,T,F,F
1019870034,NA,NA,NA,NA,NA,T,F,F
1019870036,NA,NA,NA,NA,NA,T,F,F
1019870043,NA,NA,NA,NA,NA,T,F,F
1019870046,NA,NA,NA,NA,NA,T,F,F
1019870051,NA,NA,NA,NA,NA,T,F,F
1019870053,NA,NA,NA,NA,NA,T,T,F
1019880016,NA,NA,NA,NA,NA,T,F,F
1019880018,NA,NA,NA,NA,NA,T,F,F
