issued_year,QT,SWL Eligible,SWL Only
2016,1.83,1.7513513513513514,2.0784313725490198
2017,1.5689655172413792,1.6929357472488462,1.56
2018,1.5060240963855422,1.5735882614495331,1.5268817204301075
2019,1.9950980392156863,1.4718054837040868,1.9115044247787611
2020,1.323076923076923,1.3032714412024757,1.2794117647058822
2021,1.2285714285714286,1.1492957746478873,1.1764705882352942
